deeplink     ,uuid                                  ,marketing loc                                                                                                         ,docs loc                                                                                                                                                                                              ,xml src                                                                                                                                                                                               ,md src                                                                                                                
x            ,dab536e3-1969-4661-919e-5b15f423fecd  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/propensity-scoring.html                                       ,https://docs.adobe.com/content/help/en/core-services/interface/activation/triggers.html#concept_A506150674AD45DB98D3CC07E560D334                                                                      ,propensity-scoring.xml                                                                                                                                                                                ,help/interface/activation/triggers.md                                                                                 
x            ,aea4e4c3-f543-4e8d-b553-d838418477d6  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_admin-roles.html                                            ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/admin-getting-started.html#task_3A072C4AA9734BC59FFA7E015271BC7E                                             ,t_admin-roles.xml                                                                                                                                                                                     ,help/interface/admin-getting-started/admin-getting-started.md                                                         
             ,dab536e3-1969-4661-919e-5b15f423fecd  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_create-trigger.html                                         ,https://docs.adobe.com/content/help/en/core-services/interface/activation/triggers.html                                                                                                               ,                                                                                                                                                                                                      ,help/interface/activation/triggers.md                                                                                 
x            ,dab536e3-1969-4661-919e-5b15f423fecd  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_create-trigger.html                                         ,https://docs.adobe.com/content/help/en/core-services/interface/activation/triggers.html#task_821F37183AC045E5AC8EED20317598FE                                                                         ,t_create-trigger.xml                                                                                                                                                                                  ,help/interface/activation/triggers.md                                                                                 
x            ,c1e13b99-0069-4fdb-8d72-ddcec3ed1121  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_get_access.html                                             ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/getting-started-experience-cloud.html                                                                        ,t_get_access.xml                                                                                                                                                                                      ,help/interface/admin-getting-started/getting-started-experience-cloud.md                                              
             ,c1e13b99-0069-4fdb-8d72-ddcec3ed1121  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_sign_in.html                                                ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/getting-started-experience-cloud.html                                                                        ,                                                                                                                                                                                                      ,help/interface/admin-getting-started/getting-started-experience-cloud.md                                              
x            ,c1e13b99-0069-4fdb-8d72-ddcec3ed1121  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/t_sign_in.html                                                ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/getting-started-experience-cloud.html                                                                        ,t_sign_in.xml                                                                                                                                                                                         ,help/interface/admin-getting-started/getting-started-experience-cloud.md                                              
             ,aea4e4c3-f543-4e8d-b553-d838418477d6  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/user_mgmt_admin.html                                          ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/admin-getting-started.html                                                                                   ,                                                                                                                                                                                                      ,help/interface/admin-getting-started/admin-getting-started.md                                                         
x            ,aea4e4c3-f543-4e8d-b553-d838418477d6  ,https://marketing-stage.adobe.com/resources/help/en_US/mcloud/user_mgmt_admin.html                                          ,https://docs.adobe.com/content/help/en/core-services/interface/manage-users-and-products/admin-getting-started.html#topic_3FCB4099640647E3B2411ADBFCE81909                                            ,user_mgmt_admin.xml                                                                                                                                                                                   ,help/interface/admin-getting-started/admin-getting-started.md                                                         
deeplink     ,uuid                                  ,marketing loc                                                                                                         ,docs loc                                                                                                                                                                                              ,xml src                                                                                                                                                                                               ,md src                                                                                                                
